"data";"valor"
"01/01/2012";"59708"
"01/02/2012";"59263"
"01/03/2012";"63323"
"01/04/2012";"65128"
"01/05/2012";"66570"
"01/06/2012";"67476"
"01/07/2012";"68163"
"01/08/2012";"69965"
"01/09/2012";"70727"
"01/10/2012";"70877"
"01/11/2012";"68837"
"01/12/2012";"69617"
"01/01/2013";"67707"
"01/02/2013";"69077"
"01/03/2013";"69850"
"01/04/2013";"68944"
"01/05/2013";"69438"
"01/06/2013";"70974"
"01/07/2013";"71207"
"01/08/2013";"72405"
"01/09/2013";"72930"
"01/10/2013";"72576"
"01/11/2013";"72443"
"01/12/2013";"72526"
"01/01/2014";"71677"
"01/02/2014";"72691"
"01/03/2014";"75200"
"01/04/2014";"75271"
"01/05/2014";"76891"
"01/06/2014";"79193"
"01/07/2014";"78553"
"01/08/2014";"78028"
"01/09/2014";"77856"
"01/10/2014";"76915"
"01/11/2014";"78248"
"01/12/2014";"79223"
"01/01/2015";"77684"
"01/02/2015";"77239"
"01/03/2015";"75393"
"01/04/2015";"77296"
"01/05/2015";"77716"
"01/06/2015";"79079"
"01/07/2015";"79099"
"01/08/2015";"79080"
"01/09/2015";"79224"
"01/10/2015";"78043"
"01/11/2015";"78827"
"01/12/2015";"84364"
"01/01/2016";"80426"
"01/02/2016";"79835"
"01/03/2016";"82844"
"01/04/2016";"80811"
"01/05/2016";"81254"
"01/06/2016";"80334"
"01/07/2016";"80804"
"01/08/2016";"79764"
"01/09/2016";"80218"
"01/10/2016";"79113"
"01/11/2016";"77760"
"01/12/2016";"81437"
"01/01/2017";"77532"
"01/02/2017";"77251"
"01/03/2017";"77030"
"01/04/2017";"75789"
"01/05/2017";"75117"
"01/06/2017";"75528"
"01/07/2017";"74381"
"01/08/2017";"73759"
"01/09/2017";"70230"
"01/10/2017";"69330"
"01/11/2017";"69394"
"01/12/2017";"71634"
"01/01/2018";"70382"
"01/02/2018";"72510"
"01/03/2018";"76692"
"01/04/2018";"77922"
"01/05/2018";"77554"
"01/06/2018";"80173"
"01/07/2018";"81105"
"01/08/2018";"82775"
"01/09/2018";"82467"
"01/10/2018";"81754"
"01/11/2018";"82854"
"01/12/2018";"85131"
"01/01/2019";"82952"
"01/02/2019";"82971"
"01/03/2019";"84307"
"01/04/2019";"82157"
"01/05/2019";"81639"
"01/06/2019";"81483"
"01/07/2019";"81366"
"01/08/2019";"81377"
"01/09/2019";"81434"
"01/10/2019";"80737"
"01/11/2019";"81018"
"01/12/2019";"80933"
"01/01/2020";"80278"
"01/02/2020";"80535"
"01/03/2020";"91976"
"01/04/2020";"95650"
"01/05/2020";"93802"
"01/06/2020";"92587"
"01/07/2020";"92173"
"01/08/2020";"94417"
"01/09/2020";"94026"
"01/10/2020";"93482"
"01/11/2020";"94962"
"01/12/2020";"96770"
